Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x0c680821afbc61d07e4759b2b95bef05fd775a440f01e26e8095c7907ddd8bfb","Success","Transfer","15479088","2022-09-05 17:21:56","0x8086f0fa9604008b00e6caf958552f8dbb7dee40","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729718 ETH","$56.60","0.000189"
"0x65a7b82d0cc6d40f5703fcc10fb1ca4408170141ef97e4c227c2c3e724fe8c7d","Success","Transfer","15479088","2022-09-05 17:21:56","0x36598f7999eef57dfbc0e1c5b0ab94c0f83ee8c3","","0x39f6a6c85d39d5abad8a398310c52e7c374f2ba3","WhiteBIT","0.002416733 ETH","$9.29","0.000189"
"0x03093200be5c95cea3047254957305dd5ab00fb0ceeb972db1cec1b0136e2cee","Success","Transfer","15479088","2022-09-05 17:21:56","0x642df50259c2efe8fd42ca6673b2e2201fdddeb0","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0xe40fce2f478a06e8dcc55216736164f9ce82a232df45a82fca64b014b7e3dea0","Success","Transfer","15479088","2022-09-05 17:21:56","0xf470c5a17d435cbd130fff87e11ff2b7f7254083","","0x39f6a6c85d39d5abad8a398310c52e7c374f2ba3","WhiteBIT","0.002416601 ETH","$9.29","0.000189"
"0xd966d2477a4ac038e19e59847ec05658e7cdab826bddc07b0a72234724cc2ee8","Success","Transfer","15479088","2022-09-05 17:21:56","0x1e82485e38db71dc9a30df8722150a6593ebba1a","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0x35364095785759534b8eaf493108fa440dfbfffe04827d30b585a69279ac220b","Success","Transfer","15479088","2022-09-05 17:21:56","0xfbab1396cd0fd41119c15ddc22a948fae628d324","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0x7664c42077cff233c495773a6226d9b2ac95ffd00caa7e8472eadbc74cfb2ef1","Success","Transfer","15479088","2022-09-05 17:21:56","0xf9532f73b98577b0f05880fb6ad94fa1381e1038","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0xfa155f1f4f70c8297e428a0b25872e3fc4c56fe28b77a4daa1e70d1bf8c73c36","Success","Transfer","15479088","2022-09-05 17:21:56","0x2fd9f39ea3d7c190eace03744541b812d0118463","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0xa692a13be3a4a41dde895a94d09ce4ded1fb2942bebbef6a079f72b855c3dacb","Success","Transfer","15479088","2022-09-05 17:21:56","0x9949aeb6a3e8762e22be61469ee22c9cc242e94f","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0x60e893a5b35cbc9afcb644ca8908c54983edb0edca91937544806c0e59c4d822","Success","Transfer","15479088","2022-09-05 17:21:56","0xcc793c54aedcd7ec404916da8cf630b7abd5b3f4","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0xc50fb4d216a50c6f81015402ad9e07d0e19228b2705ba6e919df11df6d70ac9b","Success","Transfer","15479088","2022-09-05 17:21:56","0xd0c0ae973dd4872bc32321ab1c057d39a34650ec","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0x59a849530384a89a33cc892876f30e597b4c7dc46072ebc64375fd7f63555f27","Success","Transfer","15479088","2022-09-05 17:21:56","0x022799d9abdf12fc13411072c5d890379e0c5a7d","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0xda0b3b7cf4dcbc6c8141d3d93248c21ea532277d9ae633279e269f10b82ad396","Success","Transfer","15479088","2022-09-05 17:21:56","0xdaa55986c160a6fd992778ce8e5aef2fbdcb3dd2","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0xdbe4da4a421db1f5d9cba31dc8a2fa2fdd367d67c049c3797ac236dd468dc0e8","Success","Transfer","15479088","2022-09-05 17:21:56","0xd5e59b9a4a30dabf3886fb8d65489865e79bdf44","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
